597.79,597.79,1403237998
597.79,597.79,1403238052
597.79,597.69,1403238113
597.79,597.65,1403238181
597.79,597.81,1403238236
597.79,597.81,1403238307
597.79,597.81,1403238353
595.65,597.63,1403238424
595.06,595.06,1403238479
595.06,597.00,1403238540
597.00,597.00,1403238593
595.06,597.00,1403238657
594.08,596.61,1403238729
594.08,596.61,1403238780
594.08,596.61,1403238851
594.08,596.61,1403238911
594.08,596.61,1403238973
594.08,596.61,1403239033
596.99,596.99,1403239096
596.99,596.63,1403239158
596.99,596.65,1403239212
596.65,596.65,1403239265
594.51,595.00,1403239328
595.00,595.00,1403239408
595.00,595.00,1403239462
595.00,595.00,1403239518
595.00,595.00,1403239582
595.00,595.00,1403239650
595.00,595.00,1403239703
594.51,595.00,1403239765
594.51,594.99,1403239827
